open_time,volume,open,high,low,close
1639010700,167.088,50536.0,50650.0,50370.0,50393.0
1639011600,210.778,50393.0,50445.0,50249.0,50272.0
1639012500,119.657,50272.0,50394.5,50272.0,50366.5
1639013400,75.516,50366.5,50368.5,50295.0,50324.5
1639014300,232.176,50324.5,50400.0,50150.0,50150.5
1639015200,251.662,50150.5,50240.0,50100.5,50169.5
1639016100,1230.677,50169.5,50200.0,49500.5,49835.5
1639017000,257.551,49835.5,49927.0,49735.0,49850.0
1639017900,245.224,49850.0,49945.5,49783.5,49855.0
1639018800,206.194,49855.0,49873.5,49668.5,49761.5
1639019700,142.163,49761.5,49810.0,49729.0,49806.0
1639020600,210.451,49806.0,49843.5,49602.5,49676.0
1639021500,528.405,49676.0,49676.5,49412.5,49507.0
1639022400,339.983,49507.0,49716.0,49423.0,49602.5
1639023300,140.562,49602.5,49717.0,49570.0,49713.0
1639024200,87.557,49713.0,49713.5,49621.0,49634.0
1639025100,198.78,49634.0,49782.5,49634.0,49782.5
1639026000,184.332,49782.5,49858.5,49726.0,49754.5
1639026900,188.593,49754.5,49755.0,49611.0,49687.5
1639027800,149.637,49687.5,49794.0,49634.5,49777.0
1639028700,185.57,49777.0,49844.5,49720.0,49737.5
1639029600,148.364,49737.5,49821.0,49702.5,49782.5
1639030500,123.089,49782.5,49782.5,49638.0,49674.0
1639031400,351.503,49674.0,49702.5,49455.0,49499.0
1639032300,267.68,49499.0,49682.5,49499.0,49594.0
1639033200,860.773,49594.0,49614.0,49111.0,49315.0
1639034100,413.451,49315.0,49618.0,49315.0,49557.5
1639035000,1408.901,49557.5,50388.5,49557.5,50040.0
1639035900,271.01,50040.0,50180.0,49959.0,49980.5
1639036800,489.766,49980.5,49981.0,49567.5,49696.0
1639037700,326.422,49696.0,49750.0,49454.5,49600.0
1639038600,503.827,49600.0,49649.5,49225.0,49503.0
1639039500,169.233,49503.0,49570.0,49440.0,49484.5
1639040400,247.296,49484.5,49516.0,49352.0,49365.0
1639041300,306.651,49365.0,49488.5,49260.0,49295.0
1639042200,1231.66,49295.0,49295.0,48778.5,49202.5
1639043100,296.103,49202.5,49246.0,49039.0,49180.0
1639044000,305.01,49180.0,49207.5,48900.0,49021.5
1639044900,153.729,49021.5,49136.0,48976.5,48976.5
1639045800,426.012,48976.5,49320.0,48976.5,49236.0
1639046700,372.042,49236.0,49369.0,49207.0,49280.5
1639047600,248.789,49280.5,49370.5,49181.0,49189.5
1639048500,211.656,49189.5,49235.5,49068.0,49144.0
1639049400,285.428,49144.0,49182.0,49016.0,49164.5
1639050300,201.558,49164.5,49286.5,49130.0,49152.0
1639051200,537.143,49152.0,49313.0,48925.0,49287.5
1639052100,925.308,49287.5,49669.0,49050.0,49248.0
1639053000,186.935,49248.0,49323.5,49169.0,49307.5
1639053900,288.432,49307.5,49419.0,49263.5,49373.0
1639054800,330.592,49373.0,49376.5,49084.0,49139.5
1639055700,339.309,49139.5,49221.0,49036.5,49135.0
1639056600,430.163,49135.0,49359.5,49073.5,49286.5
1639057500,294.237,49286.5,49344.0,49208.0,49317.5
1639058400,290.889,49317.5,49391.0,49238.0,49278.5
1639059300,621.451,49278.5,49347.5,49000.0,49030.0
1639060200,1171.949,49030.0,49042.5,48630.0,48850.5
1639061100,1079.077,48850.5,48850.5,48418.0,48553.5
1639062000,1205.101,48553.5,48742.5,48260.5,48677.5
1639062900,1370.802,48677.5,48740.0,48071.0,48146.0
1639063800,675.014,48146.0,48305.5,48050.0,48222.5
1639064700,873.615,48222.5,48662.0,48222.5,48439.5
1639065600,297.778,48439.5,48472.5,48254.5,48265.5
1639066500,427.353,48265.5,48580.0,48201.0,48535.5
1639067400,583.486,48535.5,48822.0,48490.0,48660.0
1639068300,290.107,48660.0,48660.0,48506.0,48506.0
1639069200,235.234,48506.0,48655.0,48446.5,48618.5
1639070100,124.966,48618.5,48665.0,48539.0,48550.0
1639071000,243.515,48550.0,48550.5,48408.0,48408.0
1639071900,472.164,48408.0,48486.5,48097.0,48155.5
1639072800,352.381,48155.5,48336.0,48100.0,48244.0
1639073700,1858.509,48244.0,48332.0,47480.0,47880.5
1639074600,571.628,47880.5,47880.5,47562.5,47704.0
1639075500,567.537,47704.0,47848.0,47501.0,47740.0
1639076400,637.318,47740.0,47995.0,47613.5,47633.0
1639077300,257.728,47633.0,47846.5,47550.0,47777.0
1639078200,289.63,47777.0,47933.0,47734.5,47769.0
1639079100,266.093,47769.0,47836.0,47609.0,47609.0
1639080000,543.413,47609.0,47682.0,47366.5,47385.5
1639080900,376.949,47385.5,47686.5,47385.5,47528.0
1639081800,254.629,47528.0,47601.0,47315.5,47368.5
1639082700,366.719,47368.5,47745.5,47326.0,47672.5
1639083600,343.294,47672.5,47777.0,47564.5,47771.5
1639084500,519.035,47771.5,47927.0,47706.5,47870.0
1639085400,351.999,47870.0,48113.0,47741.0,48085.0
1639086300,259.154,48085.0,48130.0,47912.5,47962.0
1639087200,733.176,47962.0,48458.0,47951.5,48122.0
1639088100,239.931,48122.0,48227.0,48063.0,48116.0
1639089000,432.128,48116.0,48116.5,47658.0,47729.0
1639089900,213.803,47729.0,47968.0,47717.0,47898.0
1639090800,301.903,47898.0,48178.0,47780.0,48136.0
1639091700,183.374,48136.0,48236.0,48014.5,48050.0
1639092600,151.829,48050.0,48102.5,47873.0,47889.0
1639093500,420.378,47889.0,47931.5,47486.5,47541.5
1639094400,697.748,47541.5,48054.5,47434.5,47949.0
1639095300,245.697,47949.0,48050.0,47801.0,47959.5
1639096200,1680.823,47959.5,48764.5,47933.0,48239.0
1639097100,415.814,48239.0,48239.0,47926.0,47998.5
1639098000,683.41,47998.5,48200.0,47735.5,48170.0
1639098900,509.502,48170.0,48478.0,48103.5,48448.0
1639099800,248.623,48448.0,48453.0,48310.5,48441.5
1639100700,245.099,48441.5,48538.0,48337.5,48391.5
1639101600,354.872,48391.5,48545.0,48258.5,48484.0
1639102500,331.152,48484.0,48800.0,48431.0,48476.0
1639103400,160.181,48476.0,48608.0,48398.0,48584.5
